"Name","Description","Email","Website","Instagram","Image_Source"
"Hong Kong Student Association","Instagram: https://www.instagram.com/hksa.uwmadison/
Facebook: https://www.facebook.com/hksa.uwmadison
HKSA not only aims to assist our fellow HK students to get accommodated to the new environment of the UW-Madison campus, but also organizes various events for anyone who is interested in learning more about our culture. By joining us you could enjoy authentic mooncakes during Mid-Autumn Festival, celebrate Chinese New Year with us by having traditional HK-style hotpot, and learn to play mahjong on a casual gaming night. Everyone is welcomed!","hksa.wisc@gmail.com","https://uwmadison.campuslabs.com/engage/organization/hksa/contact","https://www.instagram.com/hksa.uwmadison/","https://se-images.campuslabs.com/clink/images/b134374a-7695-41e4-a761-4b64df1ed3cdc184a434-f331-4935-a835-73555214fb91.jpg?preset=small-sq"
"Honors Student Organization","The Honors Student Organization (HSO) offers students an opportunity to extend what they are learning beyond the walls of the classroom to the larger world, and in the process, build a strong sense of community with their peers, faculty, and staff members. The HSO focuses its efforts on four main areas: community service, extracurricular social events, community-building outreach, and professional development. Honors students are also encouraged to initiate their own groups and projects that are supported and facilitated by the HSO advisor and officers. 
The Honors Program works to create opportunities to connect through: 
- Volunteering, such as blood drives and cleaning the Lakeshore Nature Preserve. 
- Social and Cultural events, such as ice skating, movie nights, and The Madison Opera. 
- Academic events, such as guest talks and ""Wednesdays at Washburn/Chadbourne"" (free food and a faculty speaker). 
- We welcome suggestions for events and activities! If you have any ideas, please share them with the HSO officers.","hsobadgers@gmail.com","https://uwmadison.campuslabs.com/engage/organization/honorsstudentorg/contact","https://www.instagram.com/hsobadgers/","https://se-images.campuslabs.com/clink/images/9d5be1e1-6189-4c8c-8883-68cce1790629f2c39ac9-b053-4acf-a6c5-d63b7c63a2f5.png?preset=small-sq"
"Hoofer Nordic Ski Team","We are a team of Nordic skiers composed of members of all ability levels. We offer practices throughout the fall and spring and travel to public ski races throughout the Midwest from January to March. Races include the Noquemanon in Marquette, MI; the American Birkebeiner in Hayward, WI; and the Great Bear Chase in Calumet, MI. Members sign up individually for races they want to ski, and then the team provides lodging, meals, and transportation for the weekend. Races are a great way to get out and ski during the winter, and socialize with your fellow team members! Races range from 10k to 56k, and members can choose to ski either classic or freestyle techniques at each race. We welcome members of all abilities and experience levels; practices and races are as relaxed or competitive as you choose to make them! 
During the fall semester, the team has optional dryland practices five days a week. Practices continue until the end of the Fall Semester. Over Winter Break, the team travels to Cable, WI to ski the Birkebeiner Trails for Training Weekend.
During the spring semester, the team practices every Tuesday, Wednesday, and Thursday night from 6-8 p.m. The team travels to Elver Park on the west side of Madison for winter practices. Transportation is provided.","nordic@hoofersns.org","https://uwmadison.campuslabs.com/engage/organization/hoofernordic/contact","https://www.instagram.com/badgernordic/","https://se-images.campuslabs.com/clink/images/faf17dcb-f404-4f0c-b162-6d37b7e60c7cd020b859-49e1-4e94-b9f3-ae8e4d017622.jpeg?preset=small-sq"
"Hopelessly Yellow Wisconsin","","hopelesslyellowisconsin@gmail.com","https://www.hopelesslyellowisconsin.com","No Instagram available","https://se-images.campuslabs.com/clink/images/ce2abc6d-4516-41e9-a6c0-4a2ed0279fc76b25ed61-e189-43ff-8a56-64277f467f83.png?preset=small-sq"
"HOSA Future Health Professionals UW-Madison","HOSA - UW Madison is the premier pre-health student organization on campus. We aim to prepare well-rounded leaders for a diverse range of future careers in health care. Our interprofessional focus is demonstrated by the ride range of fields our members enter, including Occupational Therapy, Physical Therapy, Nursing, Medicine, Health Care Management, Dentistry, Physician Assistant, Public Health, and more! 
HOSA holds biweekly meetings on Wednesday evenings and provides many events and opportunities for students to build their resumes, explore campus resources, volunteer, learn about the health field, and more. Some examples of events our organization provides are: professional development workshops, club socials, State/National competitions, career panels, admissions panels, campus and community outreach programs, civic engagement activities, team building and leadership events.
UW HOSA hosts an annual All Campus Healthcare Symposium in which all pre-health students are encouraged to attend.","hosa@rso.wisc.edu","http://www.hosa-uw.com/","No Instagram available","https://se-images.campuslabs.com/clink/images/3d4537d3-152c-4e88-ace0-33eb286c5cdf86049e39-df16-445e-a2ef-6c71daa317f5.jpg?preset=small-sq"
"HUMAN Capital UW","HUMAN Capital serves as a space for UW-Madison students within the Wisconsin School of Business and/or those pursuing business-related careers to address the challenges they face in pursuit of their professional aspirations. While focused on challenges surrounding mental health, HUMAN Capital also addresses other issues, such as a lack of inclusivity, hypercompetitive culture, imposter syndrome, and unhealthy stress. Given that these issues are likely to persist in the professional world, our goal with HUMAN Capital is to ensure students have the right resources, support, and training necessary to overcome the struggles they face, so they can thrive in the classroom and the workplace.","humancapitaluw@gmail.com","https://uwmadison.campuslabs.com/engage/organization/humancapital/contact","No Instagram available","No image available"
"Human Development and Family Studies - Graduate Student Organization","Mission Statement
The Graduate Student Organization (GSO) of the Department of Human Development Family Studies (HDFS), established in September 2000, is a student-led organization designed to facilitate inter- departmental communication and support students’ research, teaching, leadership, and community service.
  Vision Statement
The GSO maintains the following objectives:
To establish a unified graduate student voice
To facilitate communication between HDFS faculty and graduate students through the election of
representatives to serve on departmental committees
To provide emotional and academic support for HDFS graduate students, which includes easing
the transition for incoming graduate students
To increase the visibility of the HDFS department to the university, local communities, and
beyond","aberghoff@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/hdfsgso/contact","No Instagram available","No image available"
"Human Factors and Ergonomics Society, University of Wisconsin-Madison Student Chapter","What Is Human Factors/Ergonomics?
The following definition was adopted by the International Ergonomics Association:
Ergonomics (or human factors) is the scientific discipline concerned with the understanding of interactions among humans and other elements of a system, and the profession that applies theory, principles, data, and other methods to design in order to optimize human well-being and overall system performance.

About Human Factors and Ergonomics Society
The Society's mission is to promote the discovery and exchange of knowledge concerning the characteristics of human beings that are applicable to the design of systems and devices of all kinds.
The Society furthers serious consideration of knowledge about the assignment of appropriate functions for humans and machines, whether people serve as operators, maintainers, or users in the system. And, it advocates systematic use of such knowledge to achieve compatibility in the design of interactive systems of people, machines, and environments to ensure their effectiveness, safety, and ease of performance.","hfes@rso.wisc.edu","https://uwmadison.campuslabs.com/engage/organization/hfes/contact","http://www.instagram.com/hfes_uw","https://se-images.campuslabs.com/clink/images/83272d2a-49c0-4280-8a3c-fa611c411c9fa54c3a11-83e5-42ae-a358-40181c634138.png?preset=small-sq"
"Human Powered Vehicle Challenge Team","The Human Powered Vehicle Challenge (HPVC) team is an organization for students to design, build, and compete in the yearly ASME competition. Each year a new vehicle is designed and manufactured entirely by team members. Involvment in the team provides design and fabrication experience, as well as opprotunities to meet industry professionals. The team meets weekly to discuss the vehicle construction.
Although the organization is focused on engineering, non-engineering majors are welcome.","jjjackan@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/hpvc/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/67a31fdf-ea5c-46f5-8a97-061a876e0e019be2d92f-154e-43fa-909e-ee07ef7f20c0.jpg?preset=small-sq"
"Hummus Club","At Hummus Club we discuss our shared passion for hummus, taste a variety of kinds of hummus, and make hummus together!","ksaeman@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/hummus-club/contact","https://www.instagram.com/badgerhummusclub?igsh=ODQzeGp2a2ZqaTZ2","https://se-images.campuslabs.com/clink/images/0bec6b5a-0f84-4910-96e6-a6f4b163cde9d270e408-9dd1-4c66-b334-0e99f2f6ab05.jpg?preset=small-sq"
"Humorology Inc.","Humorology, Incorporated, founded in 1948, is an annual juried musical variety show that consists of original mini musical comedies written, produced, and performed by independent student-run teams, which are overseen by a student-run executive board. The purpose of this organization is to serve as a non-profit working to raise money for a local charity in need.
Humorology's six (6) core values are: creativity, community, excellence, integrity, leadership, and local philanthropy.","producer@humorology.org","https://www.humorology.org/","No Instagram available","https://se-images.campuslabs.com/clink/images/0afeb0f2-a033-46a3-a6b0-457fc46c106ff09ddb8b-ad94-4f1e-ab42-d139d52ecb47.jpg?preset=small-sq"
"Hypnotiq: Hip Hop Dance Crew","Founded in September 2006, Hypnotiq performs at many events on and off campus. With a focus on appreciating diversity and giving back to the community, Hypnotiq provides dancers with an opportunity to develop, choreograph, and perform.","HypnotiqDanceCrew@gmail.com","https://uwmadison.campuslabs.com/engage/organization/hypnotiq/contact","https://www.instagram.com/hypnotiq_dancecrew/","https://se-images.campuslabs.com/clink/images/03b65fd2-04e8-44e0-bded-5a1bd31bb5f4070e5743-d0e4-4a5b-b3cc-e45d819a869d.png?preset=small-sq"
"Iceberg Improv","Our mission is to teach students long-form improv, provide a safe space for students to express themselves through comedy, learn teambuilding skills, improve creativity and the ability to think on one's feet, and provide entertainment for students and community members.","icebergimprov@gmail.com","https://icebergimprov.editorx.io/home","No Instagram available","https://se-images.campuslabs.com/clink/images/7df726d2-72e9-43e5-a1e9-d6405b207492c934f001-3aca-49f0-8334-de468a4b3f84.jpg?preset=small-sq"
"If You're Reading This - UW Madison Chapter","IfYoureReadingThis.org functions to close the gap between students struggling with mental health and the people that care about them by having friends and peers come forward first and share the responsibility of being vulnerable. The website hosts open letters of support from students and faculty to empower students to build or tap into their support networks by identifying the people who understand and want to listen and by erasing the barrier of stigma. Our letters are accompanied with a name and a photo, so that readers know mental health is a topic we should not be ashamed to speak about and should be diligent in caring for, especially in the face of limited or inaccessible mental health services.","ifyourereadingthiswisconsin@gmail.com","http://www.ifyourereadingthis.org/wisco","No Instagram available","https://se-images.campuslabs.com/clink/images/d8437bb4-8517-48fa-8e8f-baae39c33df3b79c915e-8374-4df1-a176-edc855fb27c9.jpg?preset=small-sq"
"IMPACT Movement, UW-Madison Chapter","The IMPACT Movement equips Black students to become disciples of Jesus Christ who integrate their faith into every aspect of their life.","Impactbadger@gmail.com","https://uwmadison.campuslabs.com/engage/organization/impactmovement/contact","https://www.instagram.com/impactbadger/?igshid=YmMyMTA2M2Y%3D","https://se-images.campuslabs.com/clink/images/bc49094e-7a55-40c7-9810-083000edd7473e5a8340-9d7d-4a84-8c97-574184c4c52b.jpg?preset=small-sq"
"ImpactLife","ImpactLife is a community blood center with a mission to save lives by providing blood products and services to communities in need. We work to support their mission by engaging with our community, advocating for blood donation, and make our community a healthier place.","anpatel5@wisc.edu","https://www.bloodcenter.org/about/","No Instagram available","https://se-images.campuslabs.com/clink/images/bb890d2a-c34f-4792-9ca1-1c88e42146bcb9975c90-5936-4e49-b3d6-632190957179.PNG?preset=small-sq"
"Improv Playground, The","The Improv Playground is a low-pressure, high-energy group dedicated to the joy of improvisation. Our focus is on having fun, building creativity, and fostering connection through playful improv games and exercises. Open to all skill levels, this is a space where everyone can let loose, experiment, and embrace the unexpected. At The Improv Playground, it’s not about being perfect or having experience, it’s about showing up and having fun!","nwesterlund@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/theimprovplayground/contact","https://www.instagram.com/theimprovplayground/","https://se-images.campuslabs.com/clink/images/a0a16b38-6167-4d82-a118-c1acf64a9378b24ccc57-e6ad-4129-9618-eff1eea69bae.png?preset=small-sq"
"Indian Graduate Students' Association","Mission
Providing support to Indian students, particularly to those new to the University in adjusting to the Madison campus and lifestyle.
Promoting Indian culture at the University of Wisconsin-Madison campus through classical concerts in music and dance and by celebrating Indian festivals.
Collaborating with voluntary, charitable and other student organizations on campus for social and multicultural activities.
Maintain ties with the Indian community in and around Madison.
Join our events mailing list
History
The Indian Graduate Students Association (IGSA) was established in 1996 by a group of graduate students from India at the University of Wisconsin-Madison with the aim of bringing Indian culture to the UW-Madison campus. We are a voluntary non-profit organization registered with the student organization office at the University of Wisconsin-Madison. In the span of eighteen years we have grown into an organization with over 1400 members. Our members belong to different backgrounds and age groups. Membership to our organization is open to all.
  Nature of Activities
Music and dance concerts: We invite renowned artists and performers belonging to different schools and genre of Indian classical music and dance to perform at UW-Madison. Most of the artists we invite are recipients of several national and international awards. These artists could be instrumentalists or vocalists belonging to either of the two main schools of Indian music, Hindustani and carnatic. Through these high quality music and dance concerts, we hope to demonstrate the richness and diversity of Indian culture. Such experiences help enhance the cross-cultural diversity on campus. The concerts are held primarily in the premier auditoriums on campus.
Outdoor trips: We organize a Fall Colors camping trip at the peak of the renowned fall color activity in the north woods of Wisconsin. The popularity of this event is shown by the rising numbers every year. This is a wonderful opportunity for students to be a part of a truly Wisconsin experience. We also organize ski trips to ski resorts close to Madison and white-water rafting trips to north Wisconsin.

Social & cultural events: We organize various events like table tennis tournaments, trivia quizzes and other literary events. We also organize cultural events which provide an opportunity for students to showcase their talents. Through these events we aim to present the rich Indian history and ethnic diversity. These events also provide an opportunity to the UW community to witness traditional costumes, and savor authentic Indian cuisine.

Voluntary service to new students: We provide voluntary help to the Indian students new to the Madison campus, to settle down and get acclimatized to UW lifestyle. We help students with temporary accommodation, and conduct several orientation programs for their benefit.","igsa.uw@gmail.com","https://linktr.ee/igsa_uwmadison","No Instagram available","https://se-images.campuslabs.com/clink/images/625af3d8-0e81-4ad5-86bb-3c279b005b9460f3e3b4-64a3-492d-9a07-5a4acd9a1605.png?preset=small-sq"
"Indian Students Association","CLICK HERE TO JOIN OUR MAILING LIST!
  ISA is one of the oldest cultural organizations on the UW campus. Currently, our executive board includes 18 members, and we represent an even larger population of Desi students at UW.
The mission of Indian Students Association (ISA) is: ""To promote awareness and facilitate interaction with Indian culture and excellence, thereby forging a tight-knit community focused on advancing this pursuit."" Our organization strives to enhance the experience of students throughout the UW campus by offering exposure to and interaction with Indian culture through social, educational, cultural, and professional events. Indian Students Association is open to individuals of all origins with the intent to expand the Indian culture beyond our own community.
All non-ticketed events hosted by ISA are open to all members of the UW student body and the general public. All ticketed events hosted by ISA are open to all members of the UW student body.
ISA will notify members on its mailing list of each event at least one week prior to the event. You can also keep up with our events by following our Instagram page!","badgerisa@gmail.com","https://uwmadison.campuslabs.com/engage/organization/indianstudentsassociation/contact","https://www.instagram.com/isa_uwmadison/","https://se-images.campuslabs.com/clink/images/06c1e4ff-82b9-4c8f-86aa-0b7d889c30723786df27-feff-4456-aa66-aa87fb789ef1.png?preset=small-sq"
"Indigenous Law Student Association","The Indigenous Law Student Association (ILSA) exists to provide an organization and forum for University of Wisconsin Law School students, while contributing to the advancement of Indigenous peoples. ILSA fosters communication between all law students, the UW law faculty and staff, and the community at large. Additionally, ILSA provides support to its members by maintaining study groups, assisting with job searches, and hosting social activities.","ilsaedu05@gmail.com","https://uwmadison.campuslabs.com/engage/organization/ilsa/contact","https://www.instagram.com/ilsa.uw/","https://se-images.campuslabs.com/clink/images/7aa9ba92-e840-4cc6-8a44-5cec66d4a57039540844-e553-4219-b6de-b3e87a80867c.png?preset=small-sq"
"Indonesian Student Association, University of Wisconsin-Madison","Permias Madison, or the Indonesian Student Association of UW-Madison is present to serve the Indonesian community in Madison and other people who are interested in Indonesian culture. We hold activities, including carnivals, bazaars, and lectures, that are open to Indonesians and anyone interested, without discriminating race, religion, and ethnicity. We are also here to lend a helping hand to other new and incoming Indonesian students who wish to get accustomed to the Madison area.","permiasmadison@gmail.com","https://www.linkedin.com/in/permiasmadison/","No Instagram available","https://se-images.campuslabs.com/clink/images/0a83a3df-d014-48cf-a03f-790431974cc28a666436-6e51-4ef4-914c-def3aff78aa3.jpg?preset=small-sq"
"Industry Pharmacists Organization (IPHO), UW-Madison Chapter","IPhO’s Student Chapter members are recognized as the best prepared among all student pharmacists to pursue industry-focused career opportunities due to their understanding of the indispensable role of pharmacists within the industry and their direct and indirect industry-focused experiences.
IPhO Student Chapters are dedicated to enhancing student pharmacists’ understanding of the pharmaceutical industry by raising awareness of the roles that industry pharmacists play in drug development, appropriate medication use, and other aspects of industry. As IPhO members, student pharmacists will have the opportunity to connect with industry pharmacists and participate in industry-focused scholarly activities, such as on-site tours of industrial facilities and round table discussions with industry leaders. The UW-Chapter collaborates with IPhO National to promote access to industry-focused internships and other experiential opportunities.
Monthly meetings are held for the members of the organization to learn about the Pharmacist role in industry. Meetings may feature guest speakers from pharmaceutical companies, drug manufacturers, faculty members with industry relations, etc. These meetings are meant to be educational and provide an opportunity for networking.
IPhO Events:
Industry Roundtable - a moderated panel of industry Pharmacists and interns discussing their unique experiences and describing the process of obtaining an industry internship, fellowship, or career.
On-site tours of industrial facilities.
Midyear Prep Event - Help prepare student pharmacists for pursuing an industry fellowship at ASHP Midyear Clinical Meeting.
CV/Resume Critique - Reach out to the school’s career center, local fellows, or faculty members to assist in a CV/Resume critique.  
Interview Workshop - Collaborate with the school’s career center, local industry fellows, and/or faculty members to offer a workshop focused on interviewing skills.
Industry/fellow guest speakers
Networking events and mentoring programs","mahansen4@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/ipho/contact","https://www.instagram.com/ipho.uwmadison/","No image available"
"Infectious Diseases Interest Group","INFECTIOUS DISEASES INTEREST GROUP Mission Statement: To provide students with the opportunity to learn about infectious diseases in a relaxed and open environment. Specifically, this group will facilitate learning and discussion of four major topics as they pertain to infectious diseases. 1. Global health: epidemiology, prevention strategies, treatment, drug resistance, relief efforts, cultural and environmental factors, and impact of emerging infectious diseases. 2. Research: pathology, drug development, host-pathogen interaction, and evolution of pathogenic microorganisms. 3. Patient Care: management and prevention of iatrogenic and nosocomial infections. 4. Professional Development: residency application process, career opportunities in infectious disease, insight into lifestyle in infectious disease career paths, and connecting to professionals in the field.","aanorton2@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/idig/contact","No Instagram available","No image available"
"Information Systems Society","ISS serves as a vibrant hub for students to connect, collaborate, and explore the exciting world of two greats - Technology and Business. We bring together individuals from diverse backgrounds who share a common interest in the ever-evolving landscape of information systems and its applications in the business world. Whether you're a seasoned IS major or simply curious about the opportunities this field has to offer, ISS provides a welcoming space for you to grow personally and professionally.
  If your passion aligns with product management, project management, database analysis & administration, business analysis, systems analysis & design, programming, or technology consulting, ISS is your gateway to a thriving peer network of like-minded individuals.
  Join our Canvas page","iss.uwmadison1@gmail.com","https://canvas.wisc.edu/enroll/64D7HY","No Instagram available","https://se-images.campuslabs.com/clink/images/19c58fd2-ecab-454d-9999-63ed9456bf619ec9fd11-185b-4ad4-a07c-6e96a1b5b505.png?preset=small-sq"
"Insight Wisconsin","Insight Wisconsin is the premier organization for Student Inventorlike thes on the University of Wisconsin, Madison campus. We provide members with the opportunity to work on real-world product designs as part of interdisciplinary teams with representation from almost every department on campus. With the help of mentors, resources, funding, and a structured program for meetings, teams take either client-projects or original ideas from problems to solutions. Our projects range from product designs and research tools, to business analytics and entrepreneurial efforts.","insightwisconsin@gmail.com","http://insightwisconsin.org/","No Instagram available","https://se-images.campuslabs.com/clink/images/1b7a42d8-ad9a-4dce-a07e-5d6e823a81b8beb9985c-0949-4579-acf7-b26b2356a714.png?preset=small-sq"
"Institute for Operations Research and the Management Sciences (INFORMS): University of Wisconsin - Madison Chapter","The student chapter of INFORMS at UW Madison is an association for students to engage with each other and share their experience in operations research. Our organization has activities such as orientations for new students, informal research discussions and presentations, lecture series on operations research, and social events.
To join our mailing list, contact Giovanni Artiglio at artiglio at wisc dot edu or directly join the mailing list with this link https://groups.google.com/a/g-groups.wisc.edu/g/uwinforms/","madisoninforms@rso.wisc.edu","https://uwmadison.campuslabs.com/engage/organization/informs-uw/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/5758b943-b9cf-4b86-8c73-fe5210191ec561721b78-9b8b-4da9-9dcf-0d0210867bc3.jpg?preset=small-sq"
"Institute of Electrical and Electronic Engineers, UW-Madison Student Chapter","Our Website
If you have friends that want to join our mailing list, have them send a blank email to:
ieeemembers+subscribe@g-groups.wisc.edu
  IEEE Student Organization
IEEE is a comprehensive social and professional networking student organization for those interested in Computer Engineering, Electrical Engineering, and Computer Sciences.  We offer four main avenues of engagement: Company Showcases/Networking Events, Outreach Activities, Projects, and Social Events.
  Company Showcases/Networking Events
We offer various events to help you develop your professional presence, skills and grow your network. Our company showcases typically have speakers ranging from local and national companies describing their technologies or UW professors presenting their research. Companies are highly interested in recruiting at UW. Our industry events are a great way to network and achieve your professional goals. We also offer events such as field trips to company plants.
  Outreach
We offer outreach activities to get involved in the surrounding community and get some volunteer experiences. We do events like preparing local middle and high school students for their science olympiad competitions.
  Projects
Projects is a separate group within IEEE that allows members an opportunity to work on member-suggested projects such as creating your own breathalyzer or solar-powered cell phone charger (with the help of experienced members and faculty) to gain valuable hands-on experience doing PCB design, H/W, and S/W design, etc. There is no experience required - underclassmen and students from every major are encouraged to participate; these projects look great on your resume!
Click to see our past projects!

Social
Get the chance to meet and socialize with other students who share your interests at events like bowling, kickball, movie nights, laser tag, etc. In addition to this, we host Peer Career & Class Advising Sessions. Our senior members in the ECE and CS organizations advise younger members about professors, classes, meeting academic requirements, possible internship opportunities, career tracks within ECE/CS, etc.
  Notes:
We are a casual club, and your input is sincerely welcome! If you have suggestions for events that you'd like to see us do, please email the officer team! For other specific questions about joining projects, suggesting social events, etc., contact the corresponding officer listed on our website.","ieee.uwmadison@gmail.com","http://ieee.slc.engr.wisc.edu","No Instagram available","https://se-images.campuslabs.com/clink/images/bffdd1e1-6881-45fa-9bf2-5829c8432eecf10db95a-0125-4310-98d2-5ac44189b2d8.png?preset=small-sq"
"Institute of Electrical and Electronics Engineers - Industrial Applications Society, UW Madison Student Chapter","The IEEE-IAS student branch aims to build connections with local and national industry partners, as well as introducing other students to the world of power electronics and electric machines. The purpose for this organization is to support, mentor, and prepare students for a career in the power industry. This will be achieved through technical seminars, networking opportunities, and professional development","trujilloparr@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/ieee_ias/contact","No Instagram available","No image available"
"Institute of Industrial and Systems Engineers: University of Wisconsin-Madison Chapter","Institute of Industrial and Systems Engineers (IISE) is a student-run organization that is dedicated to the Professional, Educational, and Social development of future Industrial Engineers.","iise.uwmadison@gmail.com","http://www.iiseuwmadison.com","No Instagram available","https://se-images.campuslabs.com/clink/images/8ae2f98d-77ea-4adc-a139-5b9a70fe591ee816c694-119e-41fb-95b5-f85ca83706d7.png?preset=small-sq"
"Institute of Management Accountants, UW-Madison","The Institute of Management Accountants (IMA) is the only Accounting-focused club that is open to all students (majors & years) on campus. IMA’s mission is to provide our members with knowledge of careers and opportunities available within the accounting industry; host speaker events on campus to provide advice on how to excel in the business world; provide our members with the opportunity to network with their peers at social events; and to offer Board of Director positions each semester to help our members develop essential leadership and communication skills. Our vision is to build an inclusive network of students and alumni in the accounting industry while positively promoting the Wisconsin School of Business.
  We offer a variety of engaging events and programs that develop and strengthen our members’ skill sets, connect our members to their peers and professionals, give back to our community, and expand individual career potentials:
  1. Professional Events
We hold multiple professional and networking events each semester to connect you to alumni and professionals in the accounting industry! Our events regularly feature representatives from Big 4 firms, mid-size accounting firms, and more to give you a variety of perspectives and potential career paths to consider. We also offer mock interviews and and an IMA Student Night with the IMA Madison Chapter to further help you in your professional endeavors.
  2. Social Events
IMA is also centered around building community with fellow peers and professionals. Our member socials throughout the semester give you the chance to get to know other IMA members better, form friendships, and have fun! Events include game nights, outings in the Madison area, and more!
  3. Volunteer Events
We strive to make a difference in the community through our volunteer events and initiatives. Each semester, we find ways to get involved around campus, contributing to valuable causes and helping make Madison an even more enjoyable place to live, work, and study!
  4. Mentorship Program
Be a mentee or mentor! Receive support and advice from a peer mentor who is also a member and has experienced the same classes as you. As a mentor, use your leadership and experiences to be a resource for mentees for support or guidance. We also offer a number of special mentorship events throughout the semester.
  5. Platinum Membership Program
Highest membership tier available. Requires a member to pay club dues, attend at least three professional events, attend three volunteer/social events (minimum of one each), and attend the Board of Directors Elections.
Why strive for Platinum Membership? Platinum members have their names sent to the Accounting Department at WSB indicating they have exhibiting extensive dedication to their accounting education. Receive a virtual badge to add to LinkedIn or print. Gain exciting experiences and valuable knowledge throughout all of the events you attend.
  Of course, there are also Board of Directors Elections at the end of each semester with leadership positions available for our members to further develop essential leadership skills. Great for pre-business freshmen looking for leadership opportunities.
  Truly, our members’ growth is the focus and driving force of IMA and what makes our club stand out.","imauwmadisonchap@gmail.com","https://www.imauwmadison.net/","No Instagram available","https://se-images.campuslabs.com/clink/images/ce378ba6-b5b6-41e4-892e-daa22cfca2dbdd95d118-a9ea-4dd4-8283-19b4e3631c98.png?preset=small-sq"
"Institute of Transportation Engineers","Institute of Transportation Engineers gathers students interested in transportation from all over the campus, and is committed to creating academia-industry connections, sharing transportation knowledge, and contributing to communities.","clandriola@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/ite/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/29862841-5c6a-4602-9710-31c0718cebf1e68f5020-66bc-44c6-8e39-71889d7a51f6.png?preset=small-sq"
"Interfraternity Council","The purpose of the Interfraternity Council shall be to develop and maintain fraternity life and Interfraternal relations at a high level of accomplishment. Furthermore:
A. Promote and ensure unity within the Greek system.
B. Perpetuate the growth of the Interfraternity Council and its member fraternities.
C. Promote the academic excellence of every fraternity member.
D. Promote ethnic, cultural, and racial awareness.
E. Promote social interaction in a responsive atmosphere.
F. Promote community service and philanthropic endeavors.
G. Uphold the highest standards of personal conduct in all forms of competitive interaction.
The Interfraternity Council shall act as a self-governing institution at the University of Wisconsin-Madison, and promote the cultivation of social virtues both within itself, member fraternities and the public. In doing so:
A. Maintain a positive working relationship with the executive councils and member chapters of the University of Wisconsin-Madison:
1. Panhellenic Association.
2. National Pan-Hellenic Council.
3. Multicultural Greek Council.
B. Act as a liaison between member fraternities and:
1. Other student organizations.
2. The student body.
3. The faculty and administration.
4. Institute policies and rules that will maintain these purposes of the Interfraternity Council.","scallaway@wisc.edu","https://fsl.wisc.edu/councils/interfraternity-council/","No Instagram available","https://se-images.campuslabs.com/clink/images/5eb67435-5c09-4906-9653-4bf536efa243745c6892-ac35-4eda-ba79-78cb75f8b069.PNG?preset=small-sq"
"Interior Design Organization (UW-Madison)","IDO is a student community that focuses on professional development and networking skills that will propel its members into the profession of interior design prepared and confident.","ido.uwmadison@gmail.com","https://uwmadison.campuslabs.com/engage/organization/asid/contact","https://www.instagram.com/idouwmadison/","https://se-images.campuslabs.com/clink/images/2551cde9-fff5-4503-8393-8c9a17fee868ed0940ec-b585-44a9-a287-9573ddb29561.png?preset=small-sq"
"InterMission Theatre","Mission: United by our passion for storytelling, InterMission Theatre (IMT) empowers students to create performance art through interdisciplinary collaboration. 
  IMT is a Registered Student Organization on UW Madison’s Campus that produces original, experimental, and otherwise fully student-produced works to:
1) service all majors with an interest in performance art;
2) promote the student creative process.
  Officer positions are available within the group to allow students to take more of a role in a show’s production that members both elect (Artistic Counselor, Production Manager, Human Resources Officer, Treasurer, Marketing/PR Coordinator) and apply for (Trustee).","intermissiontheatre@gmail.com","https://uwmadison.campuslabs.com/engage/organization/intermissiontheatre/contact","https://www.instagram.com/intermissiontheatre/","https://se-images.campuslabs.com/clink/images/6f2ddedc-9fe1-46c2-8ff1-95948cb898a2149bc8c3-53df-4bda-b44a-6c798d272dae.png?preset=small-sq"
"International & Comparative Education Research Group","ICERG is an organization that seeks to promote quality scholarship in the field of international and comparative education, to train future scholars, and to build relationships between faculty, graduate students and working professionals.","atisaac@wisc.edu","https://eps.education.wisc.edu/research/international-and-comparative-education-research-group-icerg/","No Instagram available","No image available"
"International Society for Pharmaceutical Engineering (UW-Madison Chapter)","ISPE serves its members by leading scientific, technical and regulatory advancement throughout the entire pharmaceutical lifecycle. We promote interactions between students and industry professionals in the field of pharmaceutical engineering. We hope to introduce engineers to the reality of pharmaceuticals by hosting speakers and touring companies throughout the area.","wisco.ispe@gmail.com","https://uwmadison.campuslabs.com/engage/organization/ispe/contact","No Instagram available","No image available"
"International Student Gathering","","qkuang5@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/isg/contact","https://www.instagram.com/isg_madison/","https://se-images.campuslabs.com/clink/images/2bb161a7-137d-484c-8671-f02735b9d101893cf6e7-4baa-42a5-b2a9-79bc4468dd61.jpeg?preset=small-sq"
